начало,конец,tier,text
30.406,31.024,слово,парадóкс 
30.551,30.61,предударный,ъ
30.703,30.808,ударный,о откр
38.026,38.805,слово,парадóкс
38.17,38.257,предударный,ъ
38.343,38.52,ударный,о откр
39.983,40.59,слово,парадóкс
40.154,40.221,предударный,ъ
40.306,40.429,ударный,о откр
45.818,46.442,слово,парадóкс
45.956,46.025,предударный,а-ъ
46.107,46.243,ударный,о откр
55.629,56.115,слово,гармóнь
55.675,55.787,предударный,а
55.941,56.035,ударный,о закр
57.291,57.881,слово,гармóшка
57.339,57.399,предударный,а
57.54,57.613,ударный,о закр
61.467,62.122,слово,гармóшка
61.507,61.604,предударный,а
61.751,61.81,ударный,о закр
62.247,62.707,слово,гармóнь
62.346,62.427,предударный,а
62.579,62.633,ударный,о закр
65.682,66.142,слово,гармóнь
65.758,65.854,предударный,а
66.002,66.08,ударный,о закр
79.465,79.994,слово,гармóшка
79.537,79.637,предударный,а-ъ
79.763,79.822,ударный,о закр
80.027,80.476,слово,гармóнь
80.09,80.178,предударный,а
80.32,80.39,ударный,о закр
82.706,83.4,слово,гармóшка
82.749,82.875,предударный,а
83.034,83.103,ударный,о закр
105.734,106.243,слово,гармóшка
105.77,105.864,предударный,а
105.969,106.028,ударный,о закр
119.758,120.494,слово,саксофóн
120.085,120.181,предударный,а
120.317,120.42,ударный,о закр
124.074,124.79,слово,саксофóн
124.372,124.476,предударный,а-ъ
124.595,124.678,ударный,о закр
147.02,147.589,слово,картóн
147.058,147.161,предударный,а
147.363,147.49,ударный,о закр
149.226,149.79,слово,картóн
149.271,149.354,предударный,а
149.556,149.674,ударный,о откр
151.772,152.279,слово,картóн
151.819,151.9,предударный,а-ъ
152.068,152.191,ударный,о закр
157.418,157.981,слово,картóном
157.477,157.538,предударный,а-ъ
157.7,157.801,ударный,о закр
161.486,161.921,слово,картóн
161.535,161.611,предударный,ъ
161.777,161.859,ударный,о лит
166.742,167.425,слово,картóн
166.803,166.934,предударный,ъ
167.112,167.273,ударный,о закр
173.071,173.671,слово,картóн
173.134,173.238,предударный,а-ъ
173.419,173.521,ударный,о закр
198.772,199.547,слово,одеколóн
199.103,199.223,предударный,а
199.291,199.427,ударный,о лит
201.464,202.097,слово,одеколóн
201.738,201.845,предударный,а
201.905,202.006,ударный,о закр
225.483,226.066,слово,(о)деколóн
225.734,225.819,предударный,а-ъ
225.866,225.969,ударный,о закр
230.377,231.282,слово,(о)деколóнился
230.636,230.749,предударный,а-ъ
230.787,230.882,ударный,о закр
239.333,239.841,слово,одеколóн
239.523,239.627,предударный,а
239.677,239.763,ударный,о закр
241.337,241.787,слово,одеколóн
241.51,241.608,предударный,а-ъ
241.659,241.735,ударный,о закр
243.153,244.056,слово,одеколóниться
243.353,243.429,предударный,а-ъ
243.499,243.593,ударный,о закр
245.559,246.109,слово,одеколóн
245.741,245.814,предударный,а
245.852,245.925,ударный,о закр
249.564,250.127,слово,пролóг
249.665,249.755,предударный,а
249.829,249.958,ударный,о закр
251.915,252.376,слово,пролóг
252.002,252.093,предударный,а-ъ
252.172,252.278,ударный,о закр
255.501,255.895,слово,пролóг
255.593,255.662,предударный,а-ъ
255.733,255.825,ударный,о закр
263.606,264.001,слово,пролóг
263.675,263.738,предударный,ъ
263.795,263.887,ударный,о закр
268.915,269.584,слово,марафóн
269.084,269.188,предударный,а-ъ
269.336,269.456,ударный,о закр
272.798,273.504,слово,марафóны
272.98,273.062,предударный,а-ъ
273.208,273.322,ударный,о закр
284.461,284.958,слово,марафóн
284.649,284.725,предударный,а
284.825,284.901,ударный,о закр
299.889,300.34,слово,марафóн
300.018,300.084,предударный,ъ
300.208,300.281,ударный,о закр
311.571,312.273,слово,алкогóль
311.836,311.957,предударный,а-ъ
312.037,312.15,ударный,о закр
316.582,317.085,слово,марафóн
316.74,316.814,предударный,ъ
316.937,317.015,ударный,о закр
324.102,324.774,слово,марафóн
324.294,324.417,предударный,а
324.564,324.692,ударный,о закр
328.504,329.234,слово,марафóн
328.731,328.824,предударный,а
329.002,329.115,ударный,о закр
330.356,330.924,слово,марафóн
330.499,330.598,предударный,а
330.76,330.873,ударный,о закр
330.985,331.688,слово,марафóн
331.219,331.322,предударный,а
331.48,331.601,ударный,о лит
388.803,389.443,слово,алкогóль
389.023,389.127,предударный,а
389.192,389.309,ударный,о закр
391.292,391.887,слово,алкогóль
391.516,391.633,предударный,а
391.688,391.812,ударный,о закр
395.114,395.695,слово,алкогóль
395.331,395.431,предударный,а-ъ
395.489,395.607,ударный,о закр
398.364,399.025,слово,алкогóль
398.572,398.681,предударный,а-ъ
398.75,398.868,ударный,о закр
403.715,404.47,слово,алкогóлик
403.954,404.058,предударный,а-ъ
404.103,404.211,ударный,о закр
420.417,420.849,слово,алкогóль
420.595,420.683,предударный,а-ъ
420.734,420.807,ударный,о закр
422.754,423.391,слово,алкогóлик
422.953,423.036,предударный,а-ъ
423.09,423.174,ударный,о закр
433.729,434.226,слово,алкогóль
433.958,434.051,предударный,ъ
434.094,434.171,ударный,о закр
434.226,434.741,слово,фасóль
434.338,434.405,предударный,ъ
434.533,434.634,ударный,о закр
435.501,435.965,слово,фасóль
435.578,435.662,предударный,ъ
435.778,435.879,ударный,о лит
437.168,437.628,слово,фасóль
437.291,437.347,предударный,ъ
437.485,437.556,ударный,о лит
440.429,440.895,слово,фасóль
440.533,440.593,предударный,ъ
440.72,440.829,ударный,о откр
441.893,442.369,слово,фасóль
441.977,442.019,предударный,ъ
442.159,442.257,ударный,о лит
446.291,446.787,слово,фасóль
446.38,446.458,предударный,ъ
446.592,446.715,ударный,о лит
448.548,449.06,слово,фасóль
448.687,448.736,предударный,ъ
448.852,448.973,ударный,о закр
455.148,455.779,слово,фасóль
455.322,455.413,предударный,а
455.548,455.665,ударный,о закр
534.932,535.431,слово,фасóль
535.002,535.079,предударный,ъ
535.229,535.357,ударный,о откр
